h;abs;per
0;-0.2906601334226403;0.0
1;-0.2626532669232375;0.0
2;-0.274101688332979;0.0
3;-0.3093723624773861;0.0
4;-0.3173662285956961;0.0
5;-0.3642053012374094;0.0
6;-1.3520606558193016;-0.43061052397856037
7;2.2923913471715744;0.08984749099705358
8;0.31645738338069296;0.00814478260618451
9;-1.2869650295330528;-0.03215000377960815
10;-1.1932718692321522;-0.029268642229044434
11;-1.486510902424066;-0.03586213722495199
12;-0.39420406009370346;-0.009285408894625896
13;1.6966194788193474;0.03805992082532756
14;3.550796877984123;0.08124516228794534
15;2.9952914727926974;0.07172137802844329
16;-5.809110367588407;-0.28800375931774597
17;-2.1082948437015476;-0.9317049496188101
18;-0.3908636355104294;0.0
19;-0.3291816363851377;0.0
20;-0.2952807120442778;0.0
21;-0.28691857672447924;0.0
22;-0.3045958766687665;0.0
23;-0.3044047380697221;0.0
