time;tmp;mslp;sp;tp;irradiance
2022-08-16 13:00:00;26.612213134765625;1018.8099975585938;930.1981201171875;0.0;672.4088745117188
2022-08-16 14:00:00;27.310455322265625;1017.99560546875;929.5374755859375;0.0;648.4622192382812
2022-08-16 15:00:00;27.414459228515625;1017.0349731445312;928.69189453125;0.0;549.1377563476562
2022-08-16 16:00:00;27.303375244140625;1016.8093872070312;928.4662475585938;0.0;388.79998779296875
2022-08-16 17:00:00;25.979644775390625;1017.05126953125;928.5787353515625;0.0;192.35556030273438
2022-08-16 18:00:00;22.707183837890625;1017.5431518554688;928.8062744140625;0.0;20.551111221313477
2022-08-16 19:00:00;20.227935791015625;1018.302490234375;929.2818603515625;0.0;0.0
2022-08-16 20:00:00;19.880767822265625;1018.8800048828125;929.6162719726562;0.0;0.0
2022-08-16 21:00:00;18.958404541015625;1019.87060546875;930.3818969726562;0.0;0.0
2022-08-16 22:00:00;18.548004150390625;1019.8956298828125;930.313720703125;0.0;0.0
2022-08-16 23:00:00;18.202056884765625;1020.0387573242188;930.3687744140625;0.0;0.0
2022-08-17 00:00:00;16.573394775390625;1020.0250244140625;930.3037719726562;0.0;0.0
2022-08-17 01:00:00;16.136505126953125;1019.5543823242188;929.8356323242188;0.0;0.0
2022-08-17 02:00:00;15.281890869140625;1019.094970703125;929.373779296875;0.0;0.0
2022-08-17 03:00:00;14.914947509765625;1019.2162475585938;929.4481201171875;0.0;0.0
2022-08-17 04:00:00;14.542022705078125;1019.5287475585938;929.7068481445312;4.76837158203125e-07;0.0
2022-08-17 05:00:00;14.539093017578125;1019.661865234375;929.80126953125;0.0;0.0
2022-08-17 06:00:00;14.735870361328125;1020.52685546875;930.5712280273438;0.0;0.0
2022-08-17 07:00:00;17.630645751953125;1021.2306518554688;931.1968994140625;0.0;54.06222152709961
2022-08-17 08:00:00;18.843536376953125;1021.5418701171875;931.614990234375;0.0;171.9822235107422
2022-08-17 09:00:00;20.124908447265625;1021.8218994140625;932.0556030273438;0.0;315.9466552734375
2022-08-17 10:00:00;22.169097900390625;1021.514404296875;932.0087280273438;0.0;596.4088745117188
2022-08-17 11:00:00;24.017242431640625;1020.3731079101562;931.2474975585938;0.0;732.8533325195312
2022-08-17 12:00:00;26.019195556640625;1018.8643798828125;930.1031494140625;0.0;665.4044189453125
2022-08-17 13:00:00;26.994781494140625;1017.6187744140625;929.1124877929688;0.0;746.6844482421875
2022-08-17 14:00:00;27.197662353515625;1016.7893676757812;928.4681396484375;0.0;663.804443359375
2022-08-17 15:00:00;27.593658447265625;1016.1218872070312;927.8981323242188;0.0;573.457763671875
2022-08-17 16:00:00;26.948150634765625;1016.2412719726562;927.9656372070312;0.0;444.8355407714844
2022-08-17 17:00:00;25.470123291015625;1017.0318603515625;928.5706176757812;0.0;190.4711151123047
